127.0.0.1 - - [24/Feb/2025:09:26:24 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:26:31 +0530] "GET /SecondApp/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:26:45 +0530] "GET /SecondApp/StudentData HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:41:23 +0530] "GET /SecondApp/Studentdata HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:46:22 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:46:53 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:46:55 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:46:55 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:46:56 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:46:56 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:46:57 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:46:57 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:46:57 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:46:58 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:46:58 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:47:10 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:47:50 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:47:58 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:48:01 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:48:23 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:48:34 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:48:35 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:48:36 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:48:51 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:49:10 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [24/Feb/2025:09:49:12 +0530] "GET /SecondApp/shopedata HTTP/1.1" 200 211
